ion_id,start_frame,permeation_frame,permeation_radial,avg_nonpermeation_radial,empirical_p,total_frames
1307,7,5178,2.269,7.24,0.985,5048
1306,608,5552,1.128,7.142,0.994,4724
1305,2261,3171,2.426,3.38,0.749,195
2433,3185,3631,1.742,5.295,0.937,413
1313,3320,3666,3.746,6.219,0.878,329
1460,4333,5131,1.463,6.421,0.981,730
1387,4408,4416,2.6,2.71,0.571,7
1316,4857,4995,1.175,5.011,0.965,115
1308,4992,5269,1.642,7.373,0.985,275
1320,5173,5400,2.571,5.711,0.901,202
1309,5213,5677,1.49,5.384,0.948,425
1403,5293,5331,2.102,2.762,0.76,25
1469,5347,5886,1.335,7.36,0.998,533
2436,5416,5433,2.881,4.819,0.833,18
2434,5477,6017,1.413,6.245,0.98,506
2444,5576,5582,1.729,3.934,1.0,7
2443,5599,6202,1.012,6.616,0.998,594
1380,5689,6427,1.05,7.757,0.999,734
1476,5891,6489,2.192,6.658,0.963,562
1355,5997,6562,1.708,6.914,0.983,479
1443,6161,6359,1.664,5.594,0.972,145
1341,6450,6727,1.443,5.984,0.977,266
1465,6569,6670,2.531,5.279,0.892,65
1374,6716,6748,1.96,5.909,1.0,31
